"'"	(('POS', 0.8198), ("''", 0.1762), (':', 0.004))
"''"	(("''", 1.0),)
"'30s"	(('NNS', 1.0),)
"'40s"	(('CD', 0.5), ('NNS', 0.5))
"'60s"	(('NNS', 0.75), ('CD', 0.25))
"'68"	(('CD', 1.0),)
"'70s"	(('NNS', 0.6667), ('CD', 0.3333))
"'71"	(('CD', 1.0),)
"'80s"	(('NNS', 0.7143), ('CD', 0.2857))
"'86"	(('CD', 1.0),)
"'90s"	(('NNS', 0.6667), ('CD', 0.3333))
"'d"	(('MD', 0.8511), ('VBD', 0.1064), ('NNP', 0.0426))
"'em"	(('PRP', 0.75), ('NNP', 0.25))
"'ll"	(('MD', 1.0),)
"'m"	(('VBP', 1.0),)
"'n"	(('CC', 0.5), ('NNP', 0.5))
"'n'"	(('CC', 1.0),)
"'re"	(('VBP', 1.0),)
"'s"	(('POS', 0.8671), ('VBZ', 0.1318), ('PRP', 0.0009), ('NNP', 0.0001), ('NNS', 0.0001))
"'t-"	(('PRP', 1.0),)
"'til"	(('RB', 0.5), ('IN', 0.5))
"'ve"	(('VBP', 0.9889), ('VB', 0.0111))
"a's"	(('NNP', 1.0),)
"ain't-it-great-to-be-a-texan"	(('JJ', 1.0),)
"b'gosh"	(('NNP', 1.0),)
"bird's-eye"	(('JJ', 1.0),)
"board's"	(('NNP', 1.0),)
"bundy's"	(('NNP', 1.0),)
"congress's"	(('NNP', 1.0),)
"cont'd."	(('VBN', 1.0),)
"d'agosto"	(('NNP', 1.0),)
"d'alene"	(('NNP', 1.0),)
"d'amato"	(('NNP', 1.0),)
"d'amiante"	(('NNP', 1.0),)
"d'amico"	(('NNP', 1.0),)
"d'arcy"	(('NNP', 1.0),)
"d'exploitation"	(('NNP', 1.0),)
"darman's"	(('NNP', 1.0),)
"don't"	(('VB', 1.0),)
"don't-con-me"	(('JJ', 1.0),)
"dreyer's"	(('NNP', 1.0),)
"fancy'shvartzer"	(('NN', 1.0),)
"germany's"	(('NNP', 1.0),)
"hugo's"	(('NNP', 1.0),)
"i'm-coming-down-your-throat"	(('JJ', 1.0),)
"j'ai"	(('FW', 1.0),)
"l'heureux"	(('NNP', 1.0),)
"l'oeil"	(('FW', 1.0),)
"l'oreal"	(('NNP', 1.0),)
"l'ouest"	(('NNP', 1.0),)
"lion's-head"	(('NN', 1.0),)
"m'bow"	(('NNP', 1.0),)
"maitre'd"	(('NNP', 1.0),)
"n't"	(('RB', 1.0),)
"nation's"	(('NN', 1.0),)
"o'boyle"	(('NNP', 1.0),)
"o'brien"	(('NNP', 1.0),)
"o'clock"	(('RB', 1.0),)
"o'connell"	(('NNP', 1.0),)
"o'connor"	(('NNP', 1.0),)
"o'donnell"	(('NNP', 1.0),)
"o'dwyer"	(('NNP', 1.0),)
"o'dwyer's"	(('NNP', 1.0),)
"o'hara"	(('NNP', 1.0),)
"o'kicki"	(('NNP', 1.0),)
"o'neill"	(('NNP', 1.0),)
"o'reilly"	(('NNP', 1.0),)
"o'rourke"	(('NNP', 1.0),)
"o'shea"	(('NNP', 1.0),)
"shi'ite"	(('NNP', 1.0),)
"somethin'"	(('NN', 1.0),)
"t'"	(('PRP', 1.0),)
"the'breakup"	(('NN', 1.0),)
"tong'il"	(('NNP', 1.0),)
"ual's"	(('NNP', 1.0),)
"we're-all-in-this-together"	(('JJ', 1.0),)
"we've"	(('NN', 1.0),)
"women's-rights"	(('JJ', 1.0),)
"y'all"	(('PRP', 1.0),)
'!'	(('.', 1.0),)
'#'	(('#', 1.0),)
'$'	(('$', 1.0),)
'%'	(('NN', 0.998), ('JJ', 0.002))
'&'	(('CC', 0.999), ('SYM', 0.001))
','	((',', 1.0),)
'-'	((':', 1.0),)
'--'	((':', 1.0),)
'-0.06'	(('CD', 1.0),)
'.'	(('.', 1.0),)
'...'	((':', 1.0),)
'.270'	(('CD', 1.0),)
'.50'	(('CD', 1.0),)
'.what'	(('WDT', 1.0),)
'0'	(('CD', 1.0),)
'0.0002'	(('CD', 1.0),)
'0.0015'	(('CD', 1.0),)
'0.0018'	(('CD', 1.0),)
'0.0040'	(('CD', 1.0),)
'0.0075'	(('CD', 1.0),)
'0.01'	(('CD', 1.0),)
'0.0100'	(('CD', 1.0),)
'0.0108'	(('CD', 1.0),)
'0.0115'	(('CD', 1.0),)
'0.0182'	(('CD', 1.0),)
'0.02'	(('CD', 1.0),)
'0.025'	(('CD', 1.0),)
'0.03'	(('CD', 1.0),)
'0.05'	(('CD', 1.0),)
'0.06'	(('CD', 1.0),)
'0.07'	(('CD', 1.0),)
'0.1'	(('CD', 1.0),)
'0.10'	(('CD', 1.0),)
'0.11'	(('CD', 1.0),)
'0.12'	(('CD', 1.0),)
'0.13'	(('CD', 1.0),)
'0.14'	(('CD', 1.0),)
'0.15'	(('CD', 1.0),)
'0.16'	(('CD', 1.0),)
'0.17'	(('CD', 1.0),)
'0.18'	(('CD', 1.0),)
'0.19'	(('CD', 1.0),)
'0.2'	(('CD', 1.0),)
'0.20'	(('CD', 1.0),)
'0.23'	(('CD', 1.0),)
'0.24'	(('CD', 1.0),)
'0.25'	(('CD', 1.0),)
'0.26'	(('CD', 1.0),)
'0.27'	(('CD', 1.0),)
'0.272'	(('CD', 1.0),)
'0.28'	(('CD', 1.0),)
'0.3'	(('CD', 1.0),)
'0.30'	(('CD', 1.0),)
'0.31'	(('CD', 1.0),)
'0.32'	(('CD', 1.0),)
'0.35'	(('CD', 1.0),)
'0.36'	(('CD', 1.0),)
'0.37'	(('CD', 1.0),)
'0.375'	(('CD', 1.0),)
'0.39'	(('CD', 1.0),)
'0.4'	(('CD', 1.0),)
'0.43'	(('CD', 1.0),)
'0.44'	(('CD', 1.0),)
'0.45'	(('CD', 1.0),)
'0.47'	(('CD', 1.0),)
'0.5'	(('CD', 1.0),)
'0.50'	(('CD', 1.0),)
'0.51'	(('CD', 1.0),)
'0.53'	(('CD', 1.0),)
'0.55'	(('CD', 1.0),)
'0.57'	(('CD', 1.0),)
'0.59'	(('CD', 1.0),)
'0.6'	(('CD', 1.0),)
'0.60'	(('CD', 1.0),)
'0.628394'	(('CD', 1.0),)
'0.6287'	(('CD', 1.0),)
'0.63'	(('CD', 1.0),)
'0.65'	(('CD', 1.0),)
'0.66'	(('CD', 1.0),)
'0.7'	(('CD', 1.0),)
'0.71'	(('CD', 1.0),)
'0.73'	(('CD', 1.0),)
'0.75'	(('CD', 1.0),)
'0.76'	(('CD', 1.0),)
'0.8'	(('CD', 1.0),)
'0.85'	(('CD', 1.0),)
'0.86'	(('CD', 1.0),)
'0.88'	(('CD', 1.0),)
'0.89'	(('CD', 1.0),)
'0.9'	(('CD', 1.0),)
'0.92'	(('CD', 1.0),)
'0.94'	(('CD', 1.0),)
'0.95'	(('CD', 1.0),)
'0.99'	(('CD', 1.0),)
'1'	(('CD', 0.9905), ('LS', 0.0095))
'1,000'	(('CD', 1.0),)
'1,000-ship'	(('JJ', 1.0),)
'1,001'	(('CD', 1.0),)
'1,003,884'	(('CD', 1.0),)
'1,012'	(('CD', 1.0),)
'1,013'	(('CD', 1.0),)
'1,014'	(('CD', 1.0),)
'1,015'	(('CD', 1.0),)
'1,022,000'	(('CD', 1.0),)
'1,026.46'	(('CD', 1.0),)
'1,027'	(('CD', 1.0),)
'1,030'	(('CD', 1.0),)
'1,035,000'	(('CD', 1.0),)
'1,040'	(('CD', 1.0),)
'1,048,500,000'	(('CD', 1.0),)
'1,050'	(('CD', 1.0),)
'1,059.04'	(('CD', 1.0),)
'1,062'	(('CD', 1.0),)
'1,068,000'	(('CD', 1.0),)
'1,070,000'	(('CD', 1.0),)
'1,074'	(('CD', 1.0),)
'1,075,000'	(('CD', 1.0),)
'1,087'	(('CD', 1.0),)
'1,100'	(('CD', 1.0),)
'1,100-parcel-a-week'	(('JJ', 1.0),)
'1,103.11'	(('CD', 1.0),)
'1,108'	(('CD', 1.0),)
'1,111'	(('CD', 1.0),)
'1,120'	(('CD', 1.0),)
'1,120,317'	(('CD', 1.0),)
'1,124'	(('CD', 1.0),)
'1,141'	(('CD', 1.0),)
'1,143'	(('CD', 1.0),)
'1,150'	(('CD', 1.0),)
'1,150,000'	(('CD', 1.0),)
'1,155'	(('CD', 1.0),)
'1,174'	(('CD', 1.0),)
'1,177,000'	(('CD', 1.0),)
'1,200'	(('CD', 1.0),)
'1,200,000'	(('CD', 1.0),)
'1,200-year-old'	(('JJ', 1.0),)
'1,214'	(('CD', 1.0),)
'1,222'	(('CD', 1.0),)
'1,224'	(('CD', 1.0),)
'1,235'	(('CD', 1.0),)
'1,240'	(('CD', 1.0),)
'1,244'	(('CD', 1.0),)
'1,250'	(('CD', 1.0),)
'1,250,000'	(('CD', 1.0),)
'1,263,000'	(('CD', 1.0),)
'1,271'	(('CD', 1.0),)
'1,275,000'	(('CD', 1.0),)
'1,290'	(('CD', 1.0),)
'1,296,000'	(('CD', 1.0),)
'1,296,800'	(('CD', 1.0),)
'1,300'	(('CD', 1.0),)
'1,300,000'	(('CD', 1.0),)
'1,300-member'	(('JJ', 1.0),)
'1,310'	(('CD', 1.0),)
'1,325,900'	(('CD', 1.0),)
'1,327'	(('CD', 1.0),)
'1,342,264'	(('CD', 1.0),)
'1,351,662'	(('CD', 1.0),)
'1,365,226'	(('CD', 1.0),)
'1,368'	(('CD', 1.0),)
'1,380,000'	(('CD', 1.0),)
'1,384,119'	(('CD', 1.0),)
'1,400'	(('CD', 1.0),)
'1,400,000'	(('CD', 1.0),)
'1,400-member'	(('JJ', 1.0),)
'1,425,035'	(('CD', 1.0),)
'1,430'	(('CD', 1.0),)
'1,435'	(('CD', 1.0),)
'1,450,635'	(('CD', 1.0),)
'1,455,000'	(('CD', 1.0),)
'1,458,000'	(('CD', 1.0),)
'1,475,000'	(('CD', 1.0),)
'1,480'	(('CD', 1.0),)
'1,482'	(('CD', 1.0),)
'1,490'	(('CD', 1.0),)
'1,500'	(('CD', 1.0),)
'1,500,000'	(('CD', 1.0),)
'1,520'	(('CD', 1.0),)
'1,531,000'	(('CD', 1.0),)
